country,continent,year,gdp,gdp_usa_price_2015,gdp_per_capita,gdp_growth_rate
Afghanistan,Asia,1995,2757.0,6335.0,168.0,0.305
Afghanistan,Asia,2005,6221.0,9596.0,255.0,0.075
Afghanistan,Asia,2010,14699.0,14744.0,521.0,0.052000000000000005
Afghanistan,Asia,2015,18713.0,18713.0,554.0,-0.013999999999999999
Afghanistan,Asia,2019,18904.0,20510.0,501.0,0.039
Afghanistan,Asia,2020,20143.0,20028.0,517.0,-0.024
Afghanistan,Asia,2021,14939.0,15875.0,373.0,-0.207
Albania,Europe,1995,2393.0,4720.0,729.0,0.133
Albania,Europe,2005,8052.0,8057.0,2655.0,0.055
Albania,Europe,2010,11927.0,10420.0,4094.0,0.037000000000000005
Albania,Europe,2015,11387.0,11387.0,3950.0,0.022000000000000002
Albania,Europe,2019,15402.0,12968.0,5359.0,0.021
Albania,Europe,2020,15132.0,12516.0,5278.0,-0.035
Albania,Europe,2021,18260.0,13586.0,6396.0,0.085
Algeria,Africa,1995,41971.0,81507.0,1474.0,0.038
Algeria,Africa,2005,103198.0,124381.0,3131.0,0.059000000000000004
Algeria,Africa,2010,161207.0,140977.0,4496.0,0.036000000000000004
Algeria,Africa,2015,165979.0,165979.0,4197.0,0.037000000000000005
Algeria,Africa,2019,171760.0,177355.0,4022.0,0.01
Algeria,Africa,2020,145744.0,168310.0,3354.0,-0.051
Algeria,Africa,2021,163473.0,174033.0,3700.0,0.034
Andorra,Europe,1995,1491.0,1841.0,23702.0,0.027999999999999997
Andorra,Europe,2005,3160.0,3136.0,39584.0,0.054000000000000006
Andorra,Europe,2010,3447.0,2927.0,48191.0,-0.02
Andorra,Europe,2015,2789.0,2789.0,38870.0,0.013999999999999999
Andorra,Europe,2019,3155.0,3008.0,41329.0,0.02
Andorra,Europe,2020,2891.0,2671.0,37207.0,-0.11199999999999999
Andorra,Europe,2021,3325.0,2893.0,42066.0,0.083
Angola,Africa,1995,6642.0,29870.0,477.0,0.15
Angola,Africa,2005,36971.0,62278.0,1901.0,0.15
Angola,Africa,2010,83799.0,93199.0,3587.0,0.049
Angola,Africa,2015,116194.0,116194.0,4131.0,0.009000000000000001
Angola,Africa,2019,83137.0,110809.0,2570.0,-0.006999999999999999
Angola,Africa,2020,54821.0,104603.0,1640.0,-0.055999999999999994
Angola,Africa,2021,70533.0,105754.0,2044.0,0.011000000000000001
Anguilla,North America,1995,104.0,170.0,10805.0,-0.023
Anguilla,North America,2005,229.0,299.0,18881.0,0.131
Anguilla,North America,2010,270.0,313.0,20461.0,-0.046
Anguilla,North America,2015,331.0,331.0,22756.0,0.037000000000000005
Anguilla,North America,2019,377.0,345.0,24495.0,0.055
Anguilla,North America,2020,258.0,242.0,16583.0,-0.299
Anguilla,North America,2021,303.0,277.0,19216.0,0.145
Antigua and Barbuda,North America,1995,577.0,825.0,8440.0,-0.044000000000000004
Antigua and Barbuda,North America,2005,1015.0,1222.0,12708.0,0.079
Antigua and Barbuda,North America,2010,1149.0,1231.0,13405.0,-0.078
Antigua and Barbuda,North America,2015,1337.0,1337.0,14862.0,0.038
Antigua and Barbuda,North America,2019,1688.0,1630.0,18319.0,0.049
Antigua and Barbuda,North America,2020,1370.0,1301.0,14788.0,-0.20199999999999999
Antigua and Barbuda,North America,2021,1421.0,1324.0,15246.0,0.018000000000000002
Argentina,South America,1995,279701.0,377768.0,8004.0,-0.027999999999999997
Argentina,South America,2005,200622.0,472004.0,5135.0,0.08900000000000001
Argentina,South America,2010,426487.0,599349.0,10377.0,0.10099999999999999
Argentina,South America,2015,644903.0,644903.0,14909.0,0.027000000000000003
Argentina,South America,2019,447755.0,619640.0,10007.0,-0.02
Argentina,South America,2020,385540.0,558028.0,8561.0,-0.099
Argentina,South America,2021,487227.0,616053.0,10761.0,0.10400000000000001
Armenia,Asia,1995,1372.0,3036.0,413.0,0.069
Armenia,Asia,2005,5226.0,7048.0,1715.0,0.139
Armenia,Asia,2010,9875.0,8517.0,3352.0,0.022000000000000002
Armenia,Asia,2015,10553.0,10553.0,3666.0,0.032
Armenia,Asia,2019,13619.0,12871.0,4829.0,0.076
Armenia,Asia,2020,12642.0,11950.0,4506.0,-0.07200000000000001
Armenia,Asia,2021,13861.0,12631.0,4967.0,0.057
Aruba,North America,1995,1384.0,2246.0,17961.0,0.025
Aruba,North America,2005,2360.0,2982.0,24978.0,0.012
Aruba,North America,2010,2454.0,2696.0,24453.0,-0.027999999999999997
Aruba,North America,2015,2963.0,2963.0,28419.0,0.036000000000000004
Aruba,North America,2019,3369.0,3380.0,31651.0,0.006
Aruba,North America,2020,2610.0,2752.0,24488.0,-0.18600000000000003
Aruba,North America,2021,3126.0,3225.0,29342.0,0.172
Australia,Oceania,1995,392080.0,661157.0,21779.0,0.039
Australia,Oceania,2005,762829.0,947206.0,37817.0,0.027000000000000003
Australia,Oceania,2010,1301097.0,1085342.0,59089.0,0.024
Australia,Oceania,2015,1245248.0,1245248.0,52277.0,0.027000000000000003
Australia,Oceania,2019,1376060.0,1338160.0,54267.0,-0.001
Australia,Oceania,2020,1431725.0,1368084.0,55774.0,0.022000000000000002
Australia,Oceania,2021,1734532.0,1417576.0,66916.0,0.036000000000000004
Austria,Europe,1995,241054.0,268468.0,30332.0,0.027000000000000003
Austria,Europe,2005,315967.0,339519.0,38406.0,0.022000000000000002
Austria,Europe,2010,391893.0,362278.0,46861.0,0.018000000000000002
Austria,Europe,2015,381818.0,381818.0,44179.0,0.01
Austria,Europe,2019,444621.0,414056.0,50070.0,0.015
Austria,Europe,2020,435225.0,387333.0,48859.0,-0.065
Austria,Europe,2021,480368.0,404983.0,53840.0,0.046
Azerbaijan,Asia,1995,3081.0,8358.0,391.0,-0.11800000000000001
Azerbaijan,Asia,2005,13245.0,22097.0,1530.0,0.264
Azerbaijan,Asia,2010,52906.0,47223.0,5727.0,0.05
Azerbaijan,Asia,2015,53076.0,53076.0,5381.0,0.011000000000000001
Azerbaijan,Asia,2019,48174.0,53509.0,4708.0,0.025
Azerbaijan,Asia,2020,42693.0,51240.0,4151.0,-0.042
Azerbaijan,Asia,2021,54622.0,54099.0,5296.0,0.055999999999999994
Bahamas,North America,1995,5165.0,8258.0,17241.0,0.044000000000000004
Bahamas,North America,2005,9836.0,11581.0,28281.0,0.034
Bahamas,North America,2010,10096.0,11446.0,27047.0,0.015
Bahamas,North America,2015,11862.0,11862.0,30206.0,0.01
Bahamas,North America,2019,13193.0,12575.0,32610.0,0.019
Bahamas,North America,2020,9700.0,9579.0,23863.0,-0.23800000000000002
Bahamas,North America,2021,11209.0,10893.0,27478.0,0.13699999999999998
Bahrain,Asia,1995,6787.0,12294.0,11073.0,0.019
Bahrain,Asia,2005,15969.0,19867.0,17705.0,0.068
